ingreso_mensual,antiguedad_empresa,tipo_plan,servidor_propio,accesos_api,servicios_activos,monto_suscripcion,rubro_empresa,tamano_empresa,cantidad_empleados,cancelo_servicio
12956.33,15,profesional,False,10,2,501.43,salud,pequena,38,False
12405.29,5,profesional,False,5,8,387.74,comercio,pequena,32,True
15428.47,11,empresarial,True,33,8,1279.24,salud,pequena,17,True
23967.12,23,profesional,False,10,5,482.94,comercio,pequena,31,False
390736.42,19,profesional,False,6,1,509.11,servicios,grande,898,True
30912.53,6,profesional,False,8,7,446.42,comercio,pequena,43,False
743043.52,16,basico,False,1,0,137.34,manufactura,grande,683,True
30289.36,25,basico,True,3,3,156.89,tecnologia,pequena,26,False
18079.14,3,profesional,False,5,5,573.66,educacion,pequena,26,False
625744.05,1,basico,False,0,0,142.88,servicios,grande,720,True
24799.05,12,profesional,True,11,3,519.36,salud,pequena,6,False
9157.84,20,empresarial,True,41,7,959.67,educacion,pequena,2,False
397324.79,9,basico,True,3,0,175.97,servicios,grande,622,True
13784.34,25,basico,True,1,3,143.59,servicios,pequena,22,False
32641.08,26,basico,True,1,0,157.98,comercio,pequena,43,True
583050.71,16,basico,False,1,5,152.32,salud,grande,849,False
31110.61,11,profesional,False,4,0,405.35,educacion,pequena,8,True
6603.45,1,profesional,False,10,2,452.48,salud,pequena,6,True
10164.33,25,empresarial,False,29,4,1108.31,comercio,pequena,19,False
31632.15,27,profesional,False,3,1,488.23,comercio,pequena,46,True
3000.0,13,profesional,False,10,2,579.4,servicios,pequena,4,True
114769.04,16,empresarial,False,39,7,1167.66,servicios,mediana,93,False
6766.83,23,basico,True,3,6,189.22,servicios,pequena,3,False
178442.03,21,basico,True,1,0,158.66,servicios,mediana,85,True
16114.15,4,basico,False,0,7,134.76,manufactura,pequena,49,True
35489.04,20,empresarial,False,13,4,1048.93,manufactura,pequena,34,False
57081.61,28,profesional,False,5,1,465.02,manufactura,pequena,25,True
169846.47,23,basico,False,2,8,149.46,educacion,mediana,134,False
31953.77,14,profesional,True,5,3,557.83,educacion,pequena,19,False
6918.37,16,basico,True,0,2,173.31,comercio,pequena,27,True
544452.54,8,profesional,True,8,1,499.61,salud,grande,612,False
102816.87,20,profesional,True,6,7,481.97,comercio,mediana,169,False
26297.82,7,profesional,True,11,2,462.95,comercio,pequena,49,False
480454.61,10,basico,False,1,5,168.82,salud,grande,1136,False
32805.41,8,profesional,False,9,2,407.73,educacion,pequena,14,False
10516.42,10,basico,False,0,8,138.47,comercio,pequena,8,True
37416.37,11,basico,False,0,7,147.96,servicios,pequena,36,True
20907.5,2,basico,False,2,4,139.05,servicios,pequena,24,True
10973.09,22,personalizado,False,31,3,2655.8,tecnologia,pequena,15,False
102283.39,13,personalizado,True,21,5,1980.64,tecnologia,mediana,211,False
24326.57,29,profesional,False,11,4,414.94,comercio,pequena,5,True
161022.53,5,basico,True,0,8,188.43,manufactura,mediana,228,False
369227.86,20,personalizado,True,11,6,2987.46,servicios,grande,330,False
160552.03,5,empresarial,False,14,0,1176.36,tecnologia,mediana,147,False
66539.18,16,empresarial,False,48,7,1180.21,manufactura,mediana,161,False
193908.18,15,profesional,False,3,1,539.11,tecnologia,mediana,204,True
722910.12,13,basico,False,1,2,129.94,comercio,grande,470,True
29375.18,20,basico,False,1,3,156.32,servicios,pequena,18,True
26762.93,25,personalizado,True,22,1,2058.32,tecnologia,pequena,14,True
23001.2,9,profesional,False,9,8,463.69,tecnologia,pequena,9,False
24494.43,26,basico,False,3,8,193.91,educacion,pequena,37,True
38045.92,5,basico,True,2,1,178.37,salud,pequena,43,True
44652.89,9,profesional,False,10,2,581.97,servicios,mediana,159,False
21050.03,9,basico,False,1,3,177.86,servicios,pequena,26,True
414376.59,29,empresarial,False,41,6,1236.01,tecnologia,grande,666,False
19462.35,3,empresarial,False,47,5,1308.34,tecnologia,pequena,21,False
10979.04,12,empresarial,False,18,6,1261.25,manufactura,pequena,3,False
17496.25,13,profesional,False,11,0,476.47,comercio,pequena,19,True
39984.2,24,profesional,False,4,4,441.74,servicios,pequena,35,False
22934.01,15,profesional,False,9,1,487.84,salud,pequena,33,True
32044.12,29,profesional,False,11,2,434.84,tecnologia,pequena,49,False
3000.0,22,basico,False,2,6,160.35,servicios,pequena,49,True
30683.11,21,profesional,False,8,1,412.09,tecnologia,pequena,13,True
23386.47,23,basico,False,1,0,165.66,educacion,pequena,2,True
20185.6,5,profesional,False,8,4,432.17,salud,pequena,15,False
26809.6,13,basico,False,1,6,147.32,educacion,pequena,44,False
20041.75,18,basico,False,0,4,161.18,manufactura,pequena,41,True
3761.25,6,basico,True,1,1,138.47,salud,pequena,6,True
34222.48,3,profesional,True,11,6,577.38,servicios,pequena,9,False
27430.18,4,basico,False,1,3,157.67,servicios,pequena,29,True
111197.35,24,personalizado,True,46,6,2319.61,educacion,mediana,152,False
418136.95,20,profesional,False,10,1,388.41,tecnologia,grande,1020,True
429196.11,8,basico,False,1,8,184.42,manufactura,grande,1077,False
27238.93,22,profesional,True,11,2,509.23,servicios,pequena,12,False
41134.41,21,basico,True,0,8,155.61,comercio,pequena,3,False
27031.66,25,personalizado,True,40,3,2209.13,educacion,pequena,32,False
126472.74,28,profesional,False,8,6,533.39,educacion,mediana,105,False
58874.61,27,empresarial,True,12,4,1403.01,tecnologia,mediana,98,False
78828.71,5,basico,False,3,0,153.2,salud,mediana,150,True
670216.11,23,profesional,False,10,0,409.81,comercio,grande,327,True
31067.33,12,profesional,False,9,3,404.61,manufactura,pequena,16,False
83363.81,12,personalizado,True,11,1,1961.58,servicios,mediana,132,False
134746.43,20,profesional,False,11,5,533.15,servicios,mediana,118,False
14965.21,18,profesional,True,7,1,581.23,educacion,pequena,41,False
388841.48,13,basico,False,2,5,194.52,comercio,grande,876,False
23115.27,30,basico,True,0,1,180.43,manufactura,pequena,35,True
264047.94,5,profesional,True,5,1,415.34,manufactura,grande,1328,False
59087.46,3,profesional,True,11,3,580.49,educacion,mediana,169,False
32045.76,0,basico,False,0,5,149.63,servicios,pequena,42,True
95963.47,25,empresarial,False,38,3,1100.14,tecnologia,mediana,172,False
25469.76,12,empresarial,False,10,3,1275.23,servicios,pequena,11,True
115315.85,13,basico,False,1,3,130.81,tecnologia,mediana,129,False
86844.74,20,profesional,False,4,3,549.72,tecnologia,mediana,147,False
161724.27,13,basico,False,2,3,194.82,salud,mediana,144,True
660888.44,17,profesional,False,4,7,539.45,tecnologia,grande,1095,False
35644.7,1,basico,False,0,5,180.26,tecnologia,pequena,42,True
23348.01,4,profesional,False,9,3,461.54,tecnologia,pequena,25,False
24041.66,28,empresarial,True,22,6,967.63,educacion,pequena,30,True
7919.12,13,empresarial,False,14,4,1327.37,manufactura,pequena,5,False
23532.83,5,basico,True,1,8,167.81,tecnologia,pequena,34,False
31135.86,11,personalizado,True,17,5,2896.17,salud,pequena,34,True
11635.9,10,basico,False,0,1,135.33,servicios,pequena,33,True
29986.36,8,basico,True,1,5,148.1,tecnologia,pequena,39,False
632293.21,9,profesional,False,8,6,455.53,tecnologia,grande,993,False
18562.44,22,basico,True,1,1,173.62,servicios,pequena,42,True
530080.38,3,empresarial,False,8,1,1324.93,servicios,grande,1441,False
3000.0,9,empresarial,False,9,5,1410.71,salud,pequena,49,False
28466.81,14,basico,False,1,7,147.44,servicios,pequena,34,False
41194.35,16,personalizado,False,46,3,2465.91,tecnologia,pequena,34,False
39399.43,27,basico,True,0,4,129.45,comercio,pequena,28,True
28898.07,28,profesional,False,9,5,433.73,manufactura,pequena,38,False
21983.19,9,basico,True,1,5,152.75,comercio,pequena,5,False
18641.97,16,personalizado,True,15,1,2569.59,manufactura,pequena,26,True
21970.74,0,basico,False,3,3,159.28,educacion,pequena,22,True
81299.61,19,basico,False,2,8,152.1,manufactura,mediana,133,False
16927.56,4,profesional,True,8,7,508.88,educacion,pequena,5,False
64747.27,2,personalizado,False,15,6,2812.62,comercio,mediana,237,False
46331.61,20,empresarial,False,15,0,1054.63,comercio,pequena,10,True
517815.28,5,empresarial,False,38,3,1104.72,comercio,grande,1017,False
34671.35,14,empresarial,True,20,0,1283.94,manufactura,mediana,213,False
210518.79,3,empresarial,False,18,2,1320.08,tecnologia,grande,783,False
95115.02,23,profesional,False,4,7,549.64,tecnologia,mediana,53,False
24402.54,23,basico,False,2,3,141.63,tecnologia,pequena,25,True
33768.31,17,empresarial,False,31,1,1201.94,tecnologia,pequena,48,False
19663.66,25,profesional,False,4,6,564.75,servicios,pequena,37,False
119585.94,13,basico,True,3,6,153.96,comercio,mediana,140,False
144908.46,5,basico,True,3,5,156.52,servicios,mediana,122,False
17674.96,4,empresarial,False,42,7,1422.49,tecnologia,pequena,21,False
623507.67,6,basico,False,3,6,135.13,salud,grande,962,False
13029.46,6,personalizado,False,9,5,2685.3,educacion,pequena,8,False
178762.24,10,basico,False,3,8,184.89,comercio,mediana,161,False
141537.76,6,basico,False,3,2,137.68,servicios,mediana,52,True
31445.14,18,empresarial,True,38,4,1288.65,servicios,pequena,22,False
201388.59,4,basico,False,0,5,159.21,servicios,mediana,230,True
89897.96,19,basico,False,0,6,185.07,tecnologia,mediana,178,False
22661.19,10,profesional,False,9,4,566.26,comercio,pequena,45,False
36011.93,21,empresarial,False,11,3,1366.88,salud,pequena,17,True
19792.68,15,basico,False,3,1,131.85,comercio,pequena,2,True
85903.24,28,basico,True,1,5,178.59,manufactura,mediana,222,False
26554.64,13,empresarial,True,46,1,1391.16,salud,pequena,23,True
576147.01,9,personalizado,True,41,4,2598.1,salud,grande,914,False
546001.81,18,profesional,True,2,3,504.18,servicios,grande,763,False
28537.5,20,basico,False,0,6,130.54,manufactura,pequena,46,True
31439.93,13,basico,True,0,4,185.28,tecnologia,pequena,32,True
34257.31,17,basico,False,0,0,130.63,tecnologia,mediana,54,True
107004.96,14,basico,False,2,4,148.66,salud,mediana,225,True
15366.68,9,profesional,False,7,1,569.99,educacion,pequena,33,True
14161.04,9,basico,False,1,3,191.61,comercio,pequena,19,True
11678.54,28,profesional,False,6,2,583.36,educacion,pequena,35,True
306516.98,20,profesional,False,2,1,478.97,manufactura,grande,787,True
27900.5,2,profesional,True,9,8,418.43,servicios,pequena,17,False
799555.44,29,basico,True,1,2,160.44,salud,grande,333,False
3000.0,22,empresarial,False,46,4,985.64,comercio,pequena,43,False
491714.58,1,empresarial,False,43,7,1366.91,comercio,grande,844,False
16057.28,22,empresarial,True,33,3,1212.47,educacion,pequena,12,True
45518.13,18,basico,False,2,8,154.8,comercio,pequena,36,False
847221.89,28,basico,False,3,3,132.87,salud,grande,786,False
397398.29,15,personalizado,False,43,8,2374.42,salud,grande,617,False
3000.0,16,profesional,False,10,4,557.9,tecnologia,pequena,48,True
28621.25,9,basico,False,3,0,174.98,tecnologia,pequena,9,True
13987.43,9,profesional,True,10,7,399.2,comercio,pequena,43,False
14270.0,19,profesional,True,10,7,414.88,servicios,pequena,22,True
11274.86,25,personalizado,True,44,8,2361.04,salud,pequena,16,False
645038.53,27,basico,False,1,1,134.34,tecnologia,grande,1230,False
32114.64,23,personalizado,True,10,7,2921.73,servicios,pequena,34,False
139324.87,18,basico,False,2,3,171.53,educacion,mediana,117,False
18142.93,15,profesional,False,7,7,401.7,educacion,pequena,24,False
27188.19,10,profesional,False,4,8,542.08,servicios,pequena,40,False
51029.8,23,basico,False,2,1,152.37,tecnologia,mediana,73,True
21649.61,9,basico,False,3,3,144.03,comercio,pequena,28,True
90862.76,8,profesional,False,10,2,497.92,salud,mediana,235,False
29644.5,26,personalizado,False,30,2,1968.84,tecnologia,pequena,29,False
410752.6,18,profesional,False,6,5,476.74,salud,grande,800,False
64187.64,10,personalizado,False,31,3,2828.34,comercio,mediana,212,False
425155.97,26,empresarial,False,22,5,1394.39,tecnologia,grande,1294,False
34984.68,29,profesional,True,9,6,451.87,comercio,pequena,28,False
24559.15,9,empresarial,False,25,1,1253.01,educacion,pequena,23,True
21754.03,16,basico,False,2,0,142.81,tecnologia,pequena,32,True
17914.89,14,basico,False,0,6,165.31,tecnologia,pequena,26,True
19400.64,21,empresarial,True,40,1,1060.74,servicios,pequena,15,True
42423.14,29,empresarial,False,35,1,1217.82,comercio,pequena,12,True
28074.11,17,basico,True,0,5,139.09,comercio,pequena,33,True
26746.12,24,profesional,False,4,2,573.1,tecnologia,pequena,47,False
22377.53,18,profesional,False,2,1,562.1,comercio,pequena,38,True
49459.79,27,empresarial,False,35,2,1101.77,comercio,pequena,32,False
38050.1,12,profesional,False,8,4,539.77,salud,pequena,46,False
129644.82,11,profesional,True,3,7,401.84,comercio,mediana,160,False
22263.85,13,basico,True,1,8,177.47,servicios,pequena,26,False
22857.55,30,profesional,False,6,6,439.7,servicios,pequena,7,False
26458.72,18,profesional,True,2,8,409.97,tecnologia,pequena,32,False
116512.9,4,empresarial,False,15,4,1270.7,tecnologia,mediana,58,False
29388.17,1,profesional,False,5,3,477.64,tecnologia,pequena,15,True
105983.9,16,basico,False,2,7,163.28,salud,mediana,137,False
575887.65,24,basico,False,0,2,162.64,tecnologia,grande,1022,True
13718.53,14,empresarial,True,12,7,964.43,servicios,pequena,17,False
310673.38,17,empresarial,False,45,8,960.43,manufactura,grande,351,False
60672.07,24,basico,False,2,3,168.08,servicios,mediana,233,True
44984.66,16,basico,False,3,5,169.61,educacion,pequena,10,False
35017.09,28,profesional,False,6,7,392.05,servicios,pequena,14,False
52397.59,19,basico,False,0,7,153.04,tecnologia,mediana,86,False
388685.26,22,empresarial,True,36,1,1238.36,educacion,grande,776,False
22136.87,24,basico,False,2,8,171.83,comercio,pequena,9,True
10482.95,19,basico,False,1,4,183.41,servicios,pequena,23,False
96296.36,1,personalizado,False,23,0,2390.46,salud,mediana,181,False
29910.55,13,basico,False,2,1,164.51,manufactura,pequena,17,True
83020.44,4,basico,False,0,6,166.55,tecnologia,mediana,116,True
22891.7,15,basico,True,2,3,148.56,servicios,pequena,15,False
110658.88,4,basico,True,0,0,131.13,educacion,mediana,121,True
470592.19,15,basico,False,2,4,127.79,educacion,grande,391,False
103324.8,10,basico,True,1,5,183.94,servicios,mediana,244,False
95183.82,0,basico,False,0,0,141.02,comercio,mediana,150,True
97700.89,3,basico,False,3,3,170.04,comercio,mediana,155,True
197770.37,15,profesional,True,8,4,499.35,salud,mediana,61,True
353059.52,2,profesional,True,6,7,463.43,tecnologia,grande,384,False
4153.94,26,profesional,True,8,5,551.28,comercio,pequena,35,True
225284.89,23,basico,False,3,0,174.64,tecnologia,mediana,221,True
39477.13,21,profesional,False,10,5,387.11,tecnologia,pequena,10,False
579679.1,5,empresarial,False,42,8,1319.46,servicios,grande,476,False
139494.05,24,empresarial,False,40,0,1185.96,salud,mediana,218,False
44620.06,19,basico,False,3,8,150.92,comercio,pequena,28,False
24570.59,12,basico,False,0,0,176.56,educacion,pequena,11,True
34533.04,0,basico,False,0,5,173.81,educacion,pequena,7,True
94607.15,16,basico,False,2,3,148.46,salud,mediana,162,True
19854.01,24,profesional,False,5,6,581.57,servicios,pequena,2,False
18224.91,1,profesional,False,8,7,513.86,servicios,pequena,24,True
562144.13,1,basico,False,1,7,168.39,comercio,grande,315,False
125222.19,11,basico,False,2,7,132.22,comercio,mediana,235,False
18583.68,15,profesional,False,3,7,439.06,educacion,pequena,18,False
16985.61,14,basico,False,2,2,157.67,salud,pequena,15,True
396997.79,13,empresarial,False,48,4,1247.16,educacion,grande,1276,False
114715.83,7,basico,True,0,6,162.11,salud,mediana,216,False
173057.49,1,personalizado,False,27,1,2744.74,salud,mediana,65,True
45937.79,0,basico,False,0,5,145.22,comercio,pequena,46,True
8391.33,3,empresarial,False,42,4,1282.57,comercio,pequena,11,True
21455.52,21,personalizado,True,40,8,2800.18,comercio,pequena,12,False
114803.3,24,personalizado,True,30,0,2746.83,tecnologia,mediana,166,False
34883.38,13,empresarial,False,23,0,1316.57,tecnologia,pequena,16,False
27865.94,2,empresarial,False,23,0,1374.81,manufactura,pequena,42,True
117741.53,12,profesional,False,4,4,399.55,comercio,mediana,105,False
338138.42,30,empresarial,True,43,4,1280.11,comercio,grande,1481,False
121818.7,7,basico,False,2,5,192.89,salud,mediana,181,False
41142.46,15,profesional,False,10,2,498.66,manufactura,pequena,28,False
30469.6,16,profesional,True,3,2,426.51,comercio,pequena,40,False
31698.23,10,empresarial,True,14,3,1429.38,servicios,pequena,23,False
3000.0,13,profesional,False,11,0,417.87,servicios,pequena,8,True
24332.11,14,profesional,False,8,6,450.45,salud,pequena,34,False
45832.11,14,profesional,False,11,0,417.34,salud,pequena,7,True
105033.82,22,basico,False,3,6,158.85,tecnologia,mediana,70,False
399263.43,18,basico,False,2,4,155.77,servicios,grande,610,False
454316.12,1,profesional,True,2,8,481.98,comercio,grande,1450,False
12984.81,0,profesional,True,8,6,570.42,servicios,pequena,43,False
42111.02,12,basico,False,1,4,159.79,salud,pequena,21,True
27442.78,28,basico,False,0,6,162.24,tecnologia,pequena,44,True
17322.04,1,basico,False,0,1,187.35,tecnologia,pequena,7,True
25341.58,2,basico,False,1,1,182.7,manufactura,pequena,7,True
3000.0,21,basico,True,1,4,143.68,salud,pequena,49,True
112582.89,13,profesional,False,7,7,385.12,tecnologia,mediana,141,False
25364.44,7,basico,False,3,7,169.99,manufactura,pequena,23,True
274097.43,6,personalizado,False,49,3,2829.42,servicios,grande,1183,False
5586.86,20,personalizado,False,31,2,2527.2,educacion,pequena,15,False
21188.45,16,profesional,False,9,8,425.26,educacion,pequena,34,False
35096.86,19,basico,True,2,5,177.54,tecnologia,pequena,41,False
10485.47,8,profesional,True,11,1,518.08,manufactura,pequena,45,True
27291.83,16,empresarial,False,30,2,1214.69,comercio,pequena,21,False
350216.25,26,profesional,True,4,7,557.33,servicios,grande,910,False
42143.8,9,empresarial,False,15,8,1323.2,comercio,pequena,9,False
22698.64,12,profesional,True,6,8,517.76,salud,pequena,5,False
91487.62,5,profesional,False,5,0,517.11,comercio,mediana,172,True
33549.6,19,basico,False,3,7,172.2,tecnologia,pequena,29,False
145548.18,1,empresarial,True,9,1,1194.96,manufactura,mediana,111,True
22791.17,7,basico,False,0,7,158.81,educacion,pequena,21,True
85537.93,22,profesional,False,2,7,526.19,salud,mediana,150,False
23610.88,0,empresarial,False,39,3,1237.19,servicios,pequena,40,True
33484.06,30,basico,False,2,1,160.57,servicios,pequena,47,True
103415.01,12,profesional,False,5,6,408.15,servicios,mediana,199,False
355340.63,12,basico,False,3,0,174.88,tecnologia,grande,690,True
26366.99,16,empresarial,True,41,5,1254.77,salud,pequena,43,False
139635.77,19,basico,False,1,2,150.6,servicios,mediana,226,False
16686.34,14,personalizado,False,11,3,2323.79,comercio,pequena,15,False
26451.67,27,basico,False,0,7,144.15,tecnologia,pequena,34,True
23068.39,29,personalizado,True,29,8,2950.58,servicios,pequena,9,False
91646.82,6,empresarial,False,22,3,1360.8,educacion,mediana,217,False
8693.42,21,profesional,False,10,2,496.11,salud,pequena,16,True
155146.69,9,empresarial,False,46,7,1133.82,servicios,mediana,191,False
17256.48,30,empresarial,False,42,3,1299.73,salud,pequena,3,False
371727.1,7,personalizado,True,14,1,2501.2,educacion,grande,1037,False
111394.11,9,basico,False,3,8,193.37,comercio,mediana,59,False
18744.95,22,profesional,True,3,8,393.66,educacion,pequena,3,False
37131.23,24,basico,False,0,2,129.81,tecnologia,pequena,33,True
34938.85,3,profesional,False,5,1,497.64,manufactura,pequena,34,True
359307.36,17,basico,False,1,1,141.22,servicios,grande,1379,True
32611.51,10,profesional,False,9,5,504.87,comercio,pequena,3,False
22114.47,18,profesional,False,6,2,540.74,comercio,pequena,7,False
24916.32,17,profesional,False,5,5,410.47,servicios,pequena,21,False
97000.09,30,profesional,False,3,6,471.72,tecnologia,mediana,50,False
34040.65,28,empresarial,False,32,0,1275.89,educacion,pequena,35,False
18065.87,20,empresarial,False,27,7,1347.76,educacion,pequena,5,False
324463.86,21,profesional,False,4,0,483.01,manufactura,grande,730,True
21841.66,27,profesional,False,4,1,424.25,tecnologia,pequena,43,True
130190.99,5,personalizado,False,21,6,2561.3,salud,mediana,139,False
32587.28,22,basico,False,3,5,158.18,comercio,pequena,47,False
25238.64,23,basico,False,3,8,179.6,salud,pequena,47,False
441081.72,3,basico,False,1,5,165.0,tecnologia,grande,716,False
65806.39,27,profesional,False,10,3,439.08,educacion,mediana,167,False
128880.35,21,profesional,False,8,6,535.26,educacion,mediana,50,False
18371.48,10,empresarial,True,41,6,1191.28,comercio,pequena,18,False
23737.63,15,profesional,False,6,6,418.45,tecnologia,pequena,37,False
25102.87,15,basico,False,0,3,165.51,tecnologia,pequena,39,True
33645.85,28,empresarial,False,17,8,1404.42,comercio,pequena,49,False
24001.55,30,empresarial,True,44,2,1284.23,tecnologia,pequena,17,False
43082.99,25,basico,False,1,3,147.67,servicios,pequena,18,True
23434.61,20,basico,True,1,2,175.48,educacion,pequena,3,False
22623.16,3,basico,False,1,2,146.58,manufactura,pequena,15,True
23289.68,28,basico,False,3,1,164.13,servicios,pequena,15,True
11833.59,4,basico,False,3,5,163.05,tecnologia,pequena,23,False
557514.18,5,personalizado,False,38,6,2211.05,salud,grande,1454,False
99861.74,2,profesional,True,3,3,452.95,servicios,mediana,228,False
36358.3,29,profesional,False,11,8,573.29,salud,pequena,39,False
77023.67,15,empresarial,True,44,4,1059.05,educacion,mediana,164,False
124707.02,7,profesional,False,5,4,544.71,educacion,mediana,198,False
37265.35,2,personalizado,True,30,0,2645.73,tecnologia,pequena,24,True
40511.77,12,empresarial,True,10,8,1198.65,salud,pequena,37,False
37553.82,22,profesional,False,10,1,410.35,servicios,pequena,13,True
16469.1,30,basico,False,3,1,141.31,servicios,pequena,22,True
124943.24,17,personalizado,True,10,8,2140.24,tecnologia,mediana,74,False
683252.04,18,empresarial,False,23,4,1225.46,manufactura,grande,928,False
27411.4,25,personalizado,True,13,0,2962.45,comercio,pequena,43,True
76086.65,27,basico,False,0,3,186.71,servicios,mediana,73,True
32183.48,8,empresarial,False,31,5,947.5,tecnologia,pequena,21,False
76196.57,30,profesional,False,7,0,437.93,servicios,mediana,71,True
106457.53,16,basico,True,1,6,138.11,servicios,mediana,244,False
27194.4,28,profesional,True,7,6,580.07,tecnologia,pequena,22,False
34265.6,3,profesional,False,10,0,430.21,tecnologia,pequena,21,True
168602.57,3,basico,True,2,5,141.09,servicios,mediana,103,False
396292.68,27,profesional,True,9,2,508.23,tecnologia,grande,1375,False
13856.1,20,empresarial,False,21,6,1210.31,salud,pequena,13,False
15164.2,5,basico,False,2,3,142.74,servicios,pequena,27,True
19369.0,27,profesional,True,6,1,518.25,salud,pequena,44,False
151408.69,3,profesional,False,5,4,402.14,comercio,mediana,158,False
149597.5,21,basico,False,3,3,128.81,educacion,mediana,248,True
95290.97,6,personalizado,True,48,3,2040.3,tecnologia,mediana,101,False
129427.44,2,empresarial,False,10,7,1115.61,servicios,mediana,188,False
536283.78,24,basico,True,1,5,193.31,comercio,grande,371,False
91102.13,26,personalizado,True,22,4,2521.4,tecnologia,mediana,216,False
36313.87,3,empresarial,True,10,2,1308.59,comercio,pequena,18,False
175187.23,2,basico,False,1,5,149.2,servicios,mediana,109,True
22973.51,19,empresarial,False,22,0,1291.07,tecnologia,pequena,19,True
28734.4,0,basico,False,0,7,192.72,servicios,pequena,14,True
564316.78,23,personalizado,False,13,0,2325.28,manufactura,grande,920,False
58865.82,28,profesional,False,3,6,584.81,servicios,mediana,178,False
585978.97,23,profesional,False,6,3,511.78,servicios,grande,768,False
23773.24,7,basico,False,1,6,178.03,servicios,pequena,41,False
